,x,y
0,tried to turn right into me on my bike after we both came to a complete stop at the stopsign,2.0
1,a van driver pulled out suddenly from a side street in front of me and i lost control of the bike sorry i realize this is just outside the red area on your map,3.0
2,i was traveling down centennial drive when the car in front of me braked suddenly i applied my bike brakes but was unable to stop in time and faced with hitting the car or ditching my bike i opted for the latter,2.0
3,i was biking heading south on gayley on the street and for some reason fell off my bike,2.0
4,while was riding home another cyclist apparently under the influence heading east downhill plowed through stop sign at high speed and slammed into my bike i had slowed but not stopped at the four way stop but could not avoid the collision because of,3.0
5,doored by driver opening door into bike lane without looking just as i was passing her parked car,0.0
6,leaving wurster hall around 10 45 11pm riding towards the campanile and i was coming down the hill and was not able to see the seperation between the sidewalk and grass and my front wheel clipped the edge of the sidewalk and grass causing me to propel off,1.0
7,i was riding through the roundabout along gayley road at channing when a pick up truck came up channing way ignored the yield sign side swiped me with his rear fender and knocked me down i was probably going about 20 mph before he hit me so it took m,3.0
8,i was riding past kerr campus between parked cars and stop and go traffic when an suv with one of those stupid cow catcher headlight grills cut in front of me without looking caught my handlebar on the grill and knocked me down broken handlebar and,2.0
9,walking across sproul plaza looking around and a biker hit me from my blind spot he was travelling backwards possibly trying light stunts so he did not see me,0.0
10,driver in front of me indicated that he was turning right took a very long time to make the turn and i realized too late that he was staying still potentially waiting for me to pass him on the right had to brake suddenly and fell,2.0
11,crossing sidewalk to cross street tire slid out from under me on a metal grate across the sidewalk,1.0
12,car door hit my leg while i was on a bike,0.0
13,car sideswiped me on my bike i flew over the bike and hurt my jaw hospital visit too out of it to call police,0.0
14,i was headed south from the parking lot between tang ctr and 2200 bancroft too much fast traffic on fulton to take that route and durant one way the wrong way so i rode my bike down the sidewalk on the north side of durant to get to the light to cross a,1.0
15,i was riding my bike south on oxford intending to make the left turn onto the crescent while crossing from the bike lane to the left turn lane my handlebar grazed the back of the car in front of me i was moving perpendicular to the lane since traffic,2.0
16,i was biking home from cory hall and lost control of my bike and fell down and hurt my head pretty badly that i had to drop the fall semester this was in front of the food court on heart avenue,2.0
17,driver opened car door into my leg while i was biking past but i swerved so the door barely hit me,2.0
18,i was biking downhill the other biker uphill he went to my right when he should have gone the other way so we could pass each other but instead we collided,4.0
19,i was riding west on channing across fulton oncoming car going south in the left lane on fulton either did not stop at stop sign or did not see me already in the intersection and went on through hitting my rear wheel before i could get out of the way,3.0
20,walking on grinnell pathway cyclist riding too fast weaving in and out of pedestrian is hit me,0.0
21,a car came quickly toward the intersection to make a right turn on red as i stepped from the sidewalk into the crosswalk while the car quickly applied the brakes i had to push myself away from the car with my hand,3.0
22,a bicyclist was following at a high speed and changing lanes quickly when i braked for a pedestrian in a crosswalk the cyclist collided with the rear of my car denting the trunk,2.0
23,biking down bancroft taking merge lane onto oxford bike lane north car came up behind me honking impatiently as i occupied the lane then car brushed against me as it passed,2.0
24,commuting to work chain slipped on bike fell off bike and scraped elbow got up dusted myself off fixed chain got back on bike went to work,4.0
25,i was crossing the pedestrian bike path behind barrows while looking down at my phone suddenly i noticed a biker screeching to a halt in front of me the tire of the bike grazed my leg but no other damage was done i apologized to the biker,4.0
26,i was turning onto the bike path and slid out on slippery leaves on the off camber turn i also remember i was probably going too fast no pedestrians were in the vicinity i have since become a better bike handler and judge of road bike path conditions,4.0
27,i was biking through sather gate and caught an edge on some uneven brickwork under south gate and fell to the ground no one was close to me i somehow twisted my thumb and received treatment a brace physical therapy,1.0
28,moving off campus on bicycle during light rain the cement was wet and very slippery as i turned a corner a tour group of some children was moving through to avoid them i had to turn hard the tires of the bicycle slipped and i skidded on the pavement,4.0
29,walking to vlsb cyclist came up from behind tried to avoid me lost control of bicycle skidded on sand dirt pathway fell off his bike and got several bleeding scrapes i went up and asked him if he was okay and if i needed to call 911 but he said he,4.0
30,on path by eucalyptus grove walking from front of lsa to back of lsa several cyclists on path one coming towards me would not go around me or yield and came to stop immediately in front of me just barely bumping front wheel to my shin no harm did not,4.0
31,i was biking on the road and a pothole combined with braking caused my bike to fall over,2.0
32,i was walking up towards euclid and this cyclist came barrelling down the hill and struck me scaring me to death he was going very fast but managed not to fall himself,0.0
33,i was walking down to bart from doe library and a cyclist brushed me causing me to fall but he was not pushed off his bike it was just before 6 there were other people around too cyclists simply do not realize how dangerous fast riding especially dow,4.0
34,occurred at a crowded area with poles in the path to block cars they could not stop and ran into me i stumbled backwards but was fine,4.0
35,biker ran into me while i was walking on a sidewalk,1.0
36,if i remember correctly i was biking and a pedestrian suddenly moved and i lightly tapped her with my bike i was not going fast no one was hurt and i apologized and we went our separate ways,4.0
37,i was biking southbound along oxford and a van made a left turn onto allston right in front of me i did not have time to stop and i cruised into the side of the van i was able to slow down enough so that i was able to safely stop myself on the van with m,3.0
38,van passed me in excessive speed slammed on the brakes and took a right turn in front of me as i was attempting to go straight in an intersection hearst and shattuck,3.0
39,car passed me in excessive speed slammed on the brakes and took a right turn in front of me as i was attempting to go straight in an intersection hearst and shattuck yes both accidents were the same situation at the same intersection,3.0
40,i was grazed by a bicycle passing me from behind this was very unsettling for a 75 year old,4.0
41,skateboarder riding skateboard down the concrete stairs to the east of sutardja dai hall this scattered the people using the stairs causing jostlings fortunately this person did not collide with anyone as a 78 year old i found this extremely uncomfo,0.0
42,i was on the sidewalk below pimentel hall the bicycle came downhill on the sidewalk behind me and was not looking it hit me on one side,1.0
43,started biking on hearst across oxford vehicle turning right was not paying attention and stopped just a little late,3.0
44,my bike veered onto the dirt when entering the downhill path which crosses over the river just southeast of the campanile the drop from the pavement to the dirt caused my bike to skid over,1.0
45,there were leaves and my bike slipped when i tried to move in order to avoid pedestrians,4.0
46,there is a wooden bridge on the road just south of moffitt library while traveling south descending the hill with too much speed i saw an approaching car and applied too much rear brake over that bridge causing the rear to slide out and a fall ther,2.0
47,bicyclist swerved to avoid a car which was turning right onto shattuck and did not see him bicyclist actually hit me as i was walking in crosswalk bicyclist apologized car driver drove away,3.0
48,a bike rider hit me while i was in a crosswalk at dana bancroft he did not stop,3.0
49,swerved to avoid girl texting on phone ran into curb and crashed bike,3.0
50,i was biking up the driveway that runs between campbell and evans toward pimentel an older woman in cycling gear was coming down that same steep road from stanley hall area piedmont street she was coming quite fast and i did not have much visibility of h,3.0
51,cyclist clipped me while i was out delivering paperwork walking through sproul plaza,1.0
52,two students in a golf card hit me from behind on the sidewalk when i was walking to my car,1.0
53,i was walking on the multi use path between memorial glade and the doe library there were several other pedestrians on the path a cyclist was traveling the opposite direction due to inattention and other pedestrians obstructing my vision i did not not,4.0
54,vespa narrowly avoided hitting me in crosswalk as it zoomed through without stopping or slowing,3.0
55,middle of upper sproul next to golden bear cafe a biker ran into me as i was walking he was doing some tricks on his bike and riding really fast and recklessly,0.0
56,i rode my bike to class in the morning and ran into a homeless man who was riding another bike i was so surprised he was in front of me but riding so slow that i sped up and prepared to pass him but when i was really close he suddenly turned on his,2.0
57,crossing the road vehicle went by i was already moving and my brake fell off do not think it was anyone is fault really,2.0
58,going through a roundabout other cyclist did not stop and we almost collided im a skilled cyclist so i managed to dodge very quickly the other person freaked out and lost control,2.0
59,fell off bike while riding to campus from berkeley lab had fractued wrist,2.0
60,i was walking home and the car bumped into me,1.0
61,me jaywalking across hearst not seeing very fast moving downhill cyclist,2.0
62,riding down bancroft towards bowditch and turned left onto bowditch as i was riding through the bowditch crossing a pedestrian suddenly turned onto the street without looking i slammed on my brakes and was able to stop in enough time to barely hit the,3.0
63,skateboarder came through lost control and skateboard went out and hit couple of people,4.0
64,skateboarder came down hill behind pedestrians veered clipped some people ran off into grass and stopped,4.0
65,bicyclist came down hill from south hall direction turned around wheeler to head north and weaved in between people cyclist brushed pedestrians and then fell when turning bike to stop,4.0
66,cyclist rode up behind weaving between pedestrians and clipped me on the way it was on the foot path along strawberry creek just past the cross bath that goes over to lsb,1.0
67,i was walking home crossing south on the west side of channing on dana the car was accelerating from a stop sign driving westbound on channing way i remember walking parallel to a vehicle that was also crossing southbound dana the vehicle i was wal,3.0
68,walking from clark kerr to the island separating warring and piedmont there is a crosswalk but no stop sign and the driver did not see me crossing until they were too close and had to slam on their breaks they missed me by about an inch,3.0
69,i was crossing bancroft and dana i was on the phone and i was no pay atention to the car until i suddently i hear a strong car break,3.0
70,incas walking by the faculty club and a bike hit me in my ankle i was nger the student ser sorry and start walking instad of riding,4.0
71,i was walking in front of the valley life science buildinig and a student riding a bike just pass next to me really fast almost hit me very hard he continious his way never stop even the speed,4.0
72,while turning left from telegraph onto durant in the outmost right lane my front tire road bike hit the edge of the metal plate mentioned above at an angle and the slick metal edge made the tire slip and i lost control of the bike and i think spun sid,2.0
73,i was already in the pedestrian crosswalk when a fast moving bicycle ran into me,3.0
74,brushed against a pedestrian that was walking in the middle of the street going in the same direction as me so they could not see me there were many pedestrians in the street,2.0
