OBJECTID,type,crash/near-miss date,crash/near-miss mode,crash/near-miss time of day,mode involved,e-scooter involved,Was anyone injured?,crash cause,crash narrative,nearmiss cause,nearmiss narrative,police,unsafe location mode,unsafe location time of day,unsafe location cause,unsafe location narrative,safe location mode,safe location cause,safe location narrative,mobility device,e-bike,e-scooter,improvement,improvement narrative,address,report date,latitude,longitude,type,coordinates
1,nearMiss,May-18,bike,day,driver,,none,,,no-yield,I was biking downhill and a car that decided to turn right almost hit me. I was biking on the right hand side of the car.,no,,,,,,,,,,,,,"2403 Telegraph Ave, Berkeley, California, 94704, USA",10/1/2018,37.86684297,-13609787.24,Point,"[-122.258798947204,37.866842967977]"
2,positive,,,,,,,,,,,,,,,,,,,,,,,,,10/1/2018,37.46756056,-13598377.45,Point,"[-122.156303013036,37.4675605565848]"
3,incident,May-18,walk,,,,,,,,,,,,,,,,,,,,,,"1330 Cristina Ave, San Jose, California, 95125, USA",10/1/2018,37.44282153,-13599369.2,Point,"[-122.165212056663,37.4428215351974]"
4,incident,May-18,walk,,,,,,,,,,,,,,,,,,,,,,"18562 Prospect Rd, San Jose, California, 95129, USA",10/1/2018,33.81558356,-117.9321861,Point,"[-117.932186083924,33.8155835550056]"
5,positive,,,,,,,,,,,,,,,,,,,,,,,,"2297 Central Park Dr, Campbell, California, 95008, USA",10/1/2018,37.24344838,-121.791687,Point,"[-121.791687011734,37.2434483783072]"
6,unsafe,,,,,,,,,,,,,,,,,,,,,,,,"901 55th St, Emeryville, California, 94608, USA",10/1/2018,37.30781654,-121.8935415,Point,"[-121.893541534417,37.3078165382953]"
7,incident,May-18,walk,,,,,,,,,,,,,,,,,,,,,,"14608 W F St, Kerman, California, 93630, USA",10/1/2018,37.291644,-121.99635,Point,"[-121.996349999659,37.2916439996758]"
8,unsafe,,,,,,,,,,,,,,,,,,,,,,,,"1501 Truxtun Ave, Bakersfield, California, 93301, USA",10/1/2018,37.274967,-121.9428135,Point,"[-121.942813499828,37.2749669998263]"
9,incident,May-18,walk,,,,,,,,,,,,,,,,,,,,,,,10/1/2018,37.83914659,-122.2744889,Point,"[-122.274488912974,37.8391465866424]"
10,nearMiss,May-18,walk,,,,,,,,,,,,,,,,,,,,,,"1004 Bird Ave, San Jose, California, 95125, USA",10/1/2018,36.72559544,-120.0556218,Point,"[-120.05562180408,36.7255954420748]"
