id,line,start_ex,startlocation,end_ex,endlocation,start,end
1,7,6:22 AM,1,7:08 AM,2,382,428
2,7,6:42 AM,1,7:28 AM,2,402,448
3,7,7:05 AM,1,7:51 AM,2,425,471
4,7,7:25 AM,1,8:17 AM,2,445,497
5,7,7:45 AM,1,8:37 AM,2,465,517
6,7,8:05 AM,1,8:57 AM,2,485,537
7,7,8:24 AM,1,9:19 AM,2,504,559
8,7,8:45 AM,1,9:40 AM,2,525,580
9,7,9:05 AM,1,10:00 AM,2,545,600
10,7,9:30 AM,1,10:25 AM,2,570,625
11,7,10:00 AM,1,10:55 AM,2,600,655
12,7,10:30 AM,1,11:25 AM,2,630,685
13,7,11:00 AM,1,11:55 AM,2,660,715
14,7,11:30 AM,1,12:25 PM,2,690,745
15,7,12:00 PM,1,12:55 PM,2,720,775
16,7,12:30 PM,1,1:25 PM,2,750,805
17,7,1:00 PM,1,1:55 PM,2,780,835
18,7,1:30 PM,1,2:25 PM,2,810,865
19,7,1:57 PM,1,2:52 PM,2,837,892
20,7,2:27 PM,1,3:22 PM,2,867,922
21,7,2:56 PM,1,3:51 PM,2,896,951
22,7,3:27 PM,1,4:22 PM,2,927,982
23,7,3:58 PM,1,4:53 PM,2,958,1013
24,7,4:21 PM,1,5:16 PM,2,981,1036
25,7,4:46 PM,1,5:38 PM,2,1006,1058
26,7,5:06 PM,1,5:58 PM,2,1026,1078
27,7,5:26 PM,1,6:18 PM,2,1046,1098
28,7,5:46 PM,1,6:38 PM,2,1066,1118
29,7,6:06 PM,1,6:58 PM,2,1086,1138
30,7,6:28 PM,1,7:20 PM,2,1108,1160
31,7,6:55 PM,1,7:52 PM,2,1135,1192
32,7,7:25 PM,1,8:22 PM,2,1165,1222
33,7,7:55 PM,1,8:52 PM,2,1195,1252
34,7,6:18 AM,2,7:10 AM,1,378,430
35,7,6:36 AM,2,7:28 AM,1,396,448
36,7,6:53 AM,2,7:48 AM,1,413,468
37,7,7:14 AM,2,8:09 AM,1,434,489
38,7,7:34 AM,2,8:29 AM,1,454,509
39,7,7:57 AM,2,8:52 AM,1,477,532
40,7,8:25 AM,2,9:22 AM,1,505,562
41,7,8:55 AM,2,9:52 AM,1,535,592
42,7,9:25 AM,2,10:22 AM,1,565,622
43,7,9:54 AM,2,10:51 AM,1,594,651
44,7,10:24 AM,2,11:21 AM,1,624,681
45,7,10:54 AM,2,11:51 AM,1,654,711
46,7,11:24 AM,2,12:21 PM,1,684,741
47,7,11:54 AM,2,12:51 PM,1,714,771
48,7,12:24 PM,2,1:21 PM,1,744,801
49,7,12:54 PM,2,1:51 PM,1,774,831
50,7,1:24 PM,2,2:21 PM,1,804,861
51,7,1:53 PM,2,2:50 PM,1,833,890
52,7,2:24 PM,2,3:21 PM,1,864,921
53,7,2:50 PM,2,3:47 PM,1,890,947
54,7,3:15 PM,2,4:12 PM,1,915,972
55,7,3:37 PM,2,4:34 PM,1,937,994
56,7,3:57 PM,2,4:54 PM,1,957,1014
57,7,4:19 PM,2,5:14 PM,1,979,1034
58,7,4:39 PM,2,5:34 PM,1,999,1054
59,7,4:59 PM,2,5:54 PM,1,1019,1074
60,7,5:22 PM,2,6:17 PM,1,1042,1097
61,7,5:44 PM,2,6:39 PM,1,1064,1119
62,7,6:05 PM,2,7:00 PM,1,1085,1140
63,7,6:35 PM,2,7:30 PM,1,1115,1170
64,7,7:05 PM,2,8:03 PM,1,1145,1203
65,7,7:35 PM,2,8:33 PM,1,1175,1233
66,7,8:05 PM,2,9:03 PM,1,1205,1263
67,18,5:07 AM,3,6:17 AM,4,307,377
68,18,5:38 AM,3,6:48 AM,4,338,408
69,18,6:03 AM,3,7:17 AM,4,363,437
70,18,6:19 AM,3,7:33 AM,4,379,453
71,18,6:35 AM,3,7:49 AM,4,395,469
72,18,6:50 AM,3,8:04 AM,4,410,484
73,18,7:05 AM,3,8:19 AM,4,425,499
74,18,7:20 AM,3,8:37 AM,4,440,517
75,18,7:35 AM,3,8:52 AM,4,455,532
76,18,7:50 AM,3,9:07 AM,4,470,547
77,18,8:05 AM,3,9:22 AM,4,485,562
78,18,8:20 AM,3,9:37 AM,4,500,577
79,18,8:35 AM,3,9:52 AM,4,515,592
80,18,8:46 AM,3,10:03 AM,4,526,603
